USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
WY	56001962700	629455097	10116813	243.034	3.906	41.3021863	-105.6324812                                                                                                                                 
WY	56001962800	8178503	0	3.158	0.	41.3212371	-105.6279544                                                                                                                                               
WY	56001962900	7266167	14595	2.805	0.006	41.3231036	-105.6039028                                                                                                                                        
WY	56001963000	8921881	25626	3.445	0.01	41.3490318	-105.5756868                                                                                                                                         
WY	56001963101	5059461	0	1.953	0.	41.3296095	-105.5570003                                                                                                                                               
WY	56001963102	1747486	0	0.675	0.	41.3235732	-105.5734743                                                                                                                                               
WY	56001963400	1298344	0	0.501	0.	41.3137359	-105.5882134                                                                                                                                               
WY	56001963500	2187874	0	0.845	0.	41.3143767	-105.5691914                                                                                                                                               
WY	56001963600	2006244	0	0.775	0.	41.3063326	-105.5778916                                                                                                                                               
WY	56001963700	32511378	25228	12.553	0.01	41.3018599	-105.5236465                                                                                                                                       
WY	56001963900	10371430391	79371785	4004.432	30.646	41.6655141	-105.7218826                                                                                                                             
WY	56003962600	3940929135	14365265	1521.601	5.546	44.3363742	-107.8097899                                                                                                                               
WY	56003962700	2316389451	2212841	894.363	0.854	44.5870958	-108.0885308                                                                                                                                 
WY	56003962800	1867363168	38650511	720.993	14.923	44.8408228	-108.2675027                                                                                                                               
WY	56005000101	3111463325	2486471	1201.343	0.96	43.9159304	-105.3272541                                                                                                                                 
WY	56005000102	985264762	680391	380.413	0.263	44.1239197	-105.7760396                                                                                                                                   
WY	56005000103	2339945718	376744	903.458	0.145	43.7081085	-105.7181658                                                                                                                                  
WY	56005000200	89485928	111078	34.551	0.043	44.2622761	-105.4045602                                                                                                                                     
WY	56005000300	25070671	350766	9.68	0.135	44.2821366	-105.438215                                                                                                                                        
WY	56005000400	3686649	0	1.423	0.	44.2863352	-105.4949097                                                                                                                                               
WY	56005000500	35210188	16162	13.595	0.006	44.2773092	-105.5628614                                                                                                                                      
WY	56005000600	20471270	0	7.904	0.	44.3065694	-105.5292553                                                                                                                                              
WY	56005000701	3225676199	3079418	1245.441	1.189	44.6580082	-105.791774                                                                                                                                 
WY	56005000702	2601017161	3909398	1004.258	1.509	44.617385	-105.3063708                                                                                                                                 
WY	56007967600	8642965837	81096212	3337.068	31.311	41.7068338	-107.3673125                                                                                                                              
WY	56007967700	25660279	98642	9.907	0.038	41.8138634	-107.1969965                                                                                                                                       
WY	56007967800	27997542	14446	10.81	0.006	41.8057577	-107.2516059                                                                                                                                       
WY	56007968000	4851654188	14968370	1873.234	5.779	41.2916791	-106.7979919                                                                                                                               
WY	56007968100	6906789124	75356601	2666.726	29.095	41.9723619	-106.4609674                                                                                                                              
WY	56009956400	121226002	879080	46.806	0.339	42.7961819	-105.2990462                                                                                                                                    
WY	56009956500	37043131	519363	14.302	0.201	42.753066	-105.4300829                                                                                                                                      
WY	56009956600	10836017395	24088794	4183.81	9.301	42.9846234	-105.5247521                                                                                                                               
WY	56009956700	26097174	583365	10.076	0.225	42.8442048	-105.8432092                                                                                                                                     
WY	56011950200	5202900360	27816346	2008.851	10.74	44.6588186	-104.6778233                                                                                                                               
WY	56011950300	2190168564	369706	845.629	0.143	44.4406013	-104.3389748                                                                                                                                  
WY	56013000100	34192019	0	13.202	0.	42.8561848	-108.736922                                                                                                                                              
WY	56013000200	18557136	0	7.165	0.	42.8304569	-108.7851671                                                                                                                                              
WY	56013000301	5530657690	17975994	2135.399	6.941	42.5021045	-108.4845549                                                                                                                               
WY	56013000302	6778551929	19533065	2617.214	7.542	42.940549	-107.8968005                                                                                                                                
WY	56013000400	3517434983	25399737	1358.089	9.807	43.6176438	-109.6728876                                                                                                                               
WY	56013940100	4896073835	43615380	1890.385	16.84	43.269208	-109.0894098                                                                                                                                
WY	56013940201	1743471446	92440870	673.158	35.692	43.3026069	-108.4363056                                                                                                                               
WY	56013940202	1191236459	12581755	459.939	4.858	43.0101834	-108.4444769                                                                                                                                
WY	56013940301	5634817	192145	2.176	0.074	43.0169232	-108.373505                                                                                                                                        
WY	56013940302	33775446	907171	13.041	0.35	43.0644812	-108.3559699                                                                                                                                      
WY	56013940400	33554019	106115	12.955	0.041	43.0434263	-108.4183717                                                                                                                                     
WY	56013940500	2265374	0	0.875	0.	43.0273515	-108.3895546                                                                                                                                               
WY	56015957700	2626999209	3978238	1014.29	1.536	42.3853915	-104.3328158                                                                                                                                 
WY	56015957800	40416922	312913	15.605	0.121	42.0862485	-104.2247645                                                                                                                                     
WY	56015957900	88870301	875970	34.313	0.338	42.0401606	-104.0893488                                                                                                                                     
WY	56015958000	3008024529	11802604	1161.405	4.557	41.841428	-104.3807024                                                                                                                                
WY	56017967800	4975354	114897	1.921	0.044	43.6448157	-108.2198471                                                                                                                                       
WY	56017967900	5186478155	4985663	2002.51	1.925	43.7202092	-108.4350765                                                                                                                                 
WY	56019955100	10693618014	52753993	4128.829	20.368	44.0440477	-106.5885406                                                                                                                             
WY	56019955201	22935227	134239	8.855	0.052	44.3309073	-106.69603                                                                                                                                        
WY	56019955202	42650859	63934	16.468	0.025	44.3676636	-106.7271016                                                                                                                                      
WY	56021000200	7538613	0	2.911	0.	41.1243391	-104.8088348                                                                                                                                               
WY	56021000300	5967339	0	2.304	0.	41.108643	-104.8304713                                                                                                                                                
WY	56021000401	15013642	0	5.797	0.	41.0789247	-104.8142367                                                                                                                                              
WY	56021000403	9082618	115335	3.507	0.045	41.1135906	-104.773927                                                                                                                                        
WY	56021000404	1935131	0	0.747	0.	41.1055769	-104.8052148                                                                                                                                               
WY	56021000502	2967277	0	1.146	0.	41.1392502	-104.739128                                                                                                                                                
WY	56021000503	3100808	0	1.197	0.	41.1347778	-104.7639572                                                                                                                                               
WY	56021000601	1275298	0	0.492	0.	41.1385955	-104.7901804                                                                                                                                               
WY	56021000602	1915272	0	0.739	0.	41.1405376	-104.7781628                                                                                                                                               
WY	56021000701	2003629	1620	0.774	0.001	41.1402148	-104.8055462                                                                                                                                         
WY	56021000702	3592169	0	1.387	0.	41.1308417	-104.8308121                                                                                                                                               
WY	56021000800	1244409	0	0.48	0.	41.1492172	-104.7988307                                                                                                                                                
WY	56021000900	3272089	280715	1.263	0.108	41.1555079	-104.8346965                                                                                                                                       
WY	56021001000	2034797	0	0.786	0.	41.1412398	-104.8304889                                                                                                                                               
WY	56021001100	12470502	126908	4.815	0.049	41.1470529	-104.8616298                                                                                                                                      
WY	56021001200	6652310	0	2.568	0.	41.1857396	-104.837667                                                                                                                                                
WY	56021001301	1747648	0	0.675	0.	41.1684321	-104.8193459                                                                                                                                               
WY	56021001302	8039749	8619	3.104	0.003	41.1912976	-104.8141158                                                                                                                                         
WY	56021001401	3971269	0	1.533	0.	41.1588504	-104.7774188                                                                                                                                               
WY	56021001402	12665487	0	4.89	0.	41.1811972	-104.7878529                                                                                                                                               
WY	56021001501	16737023	0	6.462	0.	41.1811784	-104.748698                                                                                                                                               
WY	56021001502	4772890	0	1.843	0.	41.1507927	-104.7522665                                                                                                                                               
WY	56021001901	1516198604	112824	585.408	0.044	41.4235689	-104.6795634                                                                                                                                  
WY	56021001902	2578411156	2496571	995.53	0.964	41.3085797	-105.0842689                                                                                                                                  
WY	56021002001	1008221883	1045226	389.277	0.404	41.082264	-104.4211606                                                                                                                                  
WY	56021002002	1721902944	160265	664.83	0.062	41.3405238	-104.2983038                                                                                                                                   
WY	56021980801	3620472	0	1.398	0.	41.1559513	-104.8092561                                                                                                                                               
WY	56023978001	197750271	2408651	76.352	0.93	42.9111961	-111.0015756                                                                                                                                    
WY	56023978002	3709687097	4878966	1432.318	1.884	42.7476059	-110.7344333                                                                                                                                
WY	56023978100	291300060	73591	112.472	0.028	42.7155021	-110.9707469                                                                                                                                    
WY	56023978200	6236039339	42573415	2407.748	16.438	41.9598978	-110.5505605                                                                                                                              
WY	56023978400	120297050	12706	46.447	0.005	41.8197366	-110.5562506                                                                                                                                     
WY	56025000200	4830304	137294	1.865	0.053	42.85505	-106.3189423                                                                                                                                         
WY	56025000300	2998585	0	1.158	0.	42.8452848	-106.3096816                                                                                                                                               
WY	56025000400	2815320	0	1.087	0.	42.8486773	-106.2891368                                                                                                                                               
WY	56025000501	3759045	0	1.451	0.	42.8310851	-106.2854367                                                                                                                                               
WY	56025000502	1881498	0	0.726	0.	42.8456243	-106.2750344                                                                                                                                               
WY	56025000601	4193066	0	1.619	0.	42.8180779	-106.3015176                                                                                                                                               
WY	56025000602	5712814	0	2.206	0.	42.8235625	-106.3168648                                                                                                                                               
WY	56025000700	1599238	0	0.617	0.	42.8361755	-106.3312246                                                                                                                                               
WY	56025000800	3805080	111703	1.469	0.043	42.8363052	-106.3528522                                                                                                                                       
WY	56025000901	5592695	0	2.159	0.	42.8188206	-106.3591988                                                                                                                                               
WY	56025000902	3793226	0	1.465	0.	42.8163331	-106.3387326                                                                                                                                               
WY	56025001000	5089781	354436	1.965	0.137	42.8219715	-106.3970698                                                                                                                                       
WY	56025001100	8221108	376917	3.174	0.146	42.8329883	-106.392007                                                                                                                                        
WY	56025001200	12932020	142630	4.993	0.055	42.8556128	-106.3624353                                                                                                                                      
WY	56025001401	2891837427	7976458	1116.545	3.08	43.2083803	-106.3349847                                                                                                                                 
WY	56025001602	13815429	215267	5.334	0.083	42.8462138	-106.2621901                                                                                                                                      
WY	56025001603	48950848	49349	18.9	0.019	42.7887845	-106.3658174                                                                                                                                        
WY	56025001700	27023512	358998	10.434	0.139	42.8391061	-106.4394488                                                                                                                                     
WY	56025001801	1973876044	18746098	762.118	7.238	42.5862206	-106.3715723                                                                                                                                
WY	56025001802	8809200699	62500727	3401.252	24.132	42.9602084	-107.0539031                                                                                                                              
WY	56027957200	6801380678	4969450	2626.028	1.919	43.062159	-104.4683727                                                                                                                                 
